Symbols
ABBV
ABC
ABM
ACC
ACN
ADI
ADM
ADP
AEL
AFL
AGO
AIN
AIT
AJG
ALB
ALG
AMAT
AME
AMP
ANDE
AOS
APD
APH
APOG
AROW
ARTNA
ATO
ATR
ATRI
AUBN
AVA
AVB
AWR
AXP
AXS
BANF
BBY
BCO
BCPC
BDX
BEN
BF.B
BG
BHB
BKH
BLK
BLL
BMI
BMO
BMTC
BMY
BNS
BOH
BOKF
BRC
BRO
CAH
CASS
CASY
CAT
CB
CBSH
CBT
CBU
CE
CFR
CHD
CHDN
CHE
CHRW
CINF
CL
CLX
CM
CMC
CME
CMI
CMP
CNI
CNQ
COG
COKE
COO
COST
CPK
CR
CSL
CTAS
CTB
CTBI
CUB
CVBF
CVGW
CVS
CVX
CW
CWCO
CWT
D
DCI
DDS
DE
DGICA
DGX
DLR
DOV
DTE
EBF
ECL
ED
EGP
EMN
EMR
ENB
EOG
EPD
ERIE
ES
ESS
ETN
ETR
EV
EXPD
FAST
FDS
FDX
FELE
FFIC
FFIN
FHI
FIS
FLIC
FLO
FMCB
FNLC
FRT
FTS
FUL
FWRD
GABC
GBCI
GD
GEF
GGG
GIS
GL
GNTX
GPC
GPN
GRC
GS
GWW
HAS
HBNC
HCSG
HD
HE
HEI
HES
HFC
HNI
HOFT
HON
HRB
HRL
HSY
HTLF
HUBB
HWC
IBM
IEX
IFF
IMKTA
IMO
INDB
INGR
INTC
ITW
JBHT
JJSF
JKHY
JNJ
JW.A
K
KAMN
KLAC
KMB
KMT
KO
KR
KWR
LANC
LAZ
LECO
LEG
LHX
LII
LIN
LKFN
LLY
LMT
LNN
LOW
MA
MAA
MAN
MATW
MCD
MCHP
MCK
MCO
MCY
MDT
MDU
MEI
MET
MGEE
MGRC
MKC
MLM
MMM
MMP
MNR
MO
MRK
MSA
MSEX
MSFT
MSM
MTB
MYE
NATI
NBTB
NDSN
NEE
NFG
NHI
NJR
NKE
NNN
NOC
NP
NSC
NSP
NTRS
NUE
NUS
NWBI
NWN
O
OGE
OKE
OLN
OMC
ORI
OTTR
OZK
PAYX
PB
PBA
PBCT
PEG
PEP
PFS
PG
PH
PII
PKI
PM
PNR
PNW
POOL
PPG
PPL
PRGO
PRK
PSA
PSB
QCOM
R
RBA
RBC
RE
RGA
RGLD
RHI
RJF
RLI
RNR
ROP
RPM
RS
RSG
RY
SAFM
SAFT
SAL
SBSI
SCHW
SCI
SCL
SEIC
SFNC
SHEN
SHW
SIGI
SJI
SJM
SJR
SJW
SLF
SLGN
SM
SMG
SNA
SO
SON
SPGI
SPTN
SR
SRCE
SRE
SSB
SSD
STE
STL
SUI
SWK
SWM
SWX
SXT
SYBT
SYK
SYY
T
TD
TDS
TFX
TGT
THFF
THO
TJX
TMP
TNC
TR
TRMK
TROW
TRP
TSN
TTC
TXN
UBSI
UFPI
UGI
UHT
UMBF
UNH
UNP
UPS
UTL
UVV
V
VFC
VMI
VSEC
VZ
WAB
WABC
WASH
WBA
WEC
WEYS
WHR
WLK
WM
WMT
WPC
WRB
WSFS
WSM
WSO
WST
WTRG
WTS
WU
XLNX
XOM
XRAY
YORW
BA
IPAR
LUV
ROST
TAP
VGR
WWW
HEP
FL
WWD
SKT
SPG
AAN
MDP
TCO
MEOH
MXIM
RL
UFCS
WRK
RTN
AIZ
TIF
WTR
OXY
CBRL
GPS
HP
UBA
SLB
VTR
WELL
FII
UTX
JWN
CHH
AVX
HAL
GVA
RAVN
DIS
TRI
SKYW
EFSC
ROL
BKE
RBCAA
BHLB
UBP
NWE
PVH
MTSC
UVSP
APA
RTX
